"Date","HBName","BNFcompound","StandardisedQuantityPrescribedPerMonth","month"
2019-01-01,"Ayrshire and Arran","Azithromycin",9.44046021965029,1
2019-02-01,"Ayrshire and Arran","Azithromycin",8.58859910411787,2
2019-03-01,"Ayrshire and Arran","Azithromycin",9.46911025716819,3
2019-04-01,"Ayrshire and Arran","Azithromycin",9.60881329725551,4
2019-05-01,"Ayrshire and Arran","Azithromycin",9.59175970349485,5
2019-06-01,"Ayrshire and Arran","Azithromycin",9.48889242593056,6
2019-07-01,"Ayrshire and Arran","Azithromycin",9.83705859614816,7
2019-08-01,"Ayrshire and Arran","Azithromycin",9.90008867868755,8
2019-09-01,"Ayrshire and Arran","Azithromycin",9.24877782578049,9
2019-10-01,"Ayrshire and Arran","Azithromycin",10.5331180790832,10
2019-11-01,"Ayrshire and Arran","Azithromycin",9.55710680097319,11
2019-12-01,"Ayrshire and Arran","Azithromycin",10.7915141317447,12
2020-01-01,"Ayrshire and Arran","Azithromycin",10.0141431137588,1
2020-02-01,"Ayrshire and Arran","Azithromycin",9.53855249096159,2
2020-03-01,"Ayrshire and Arran","Azithromycin",11.7585211123491,3
2020-04-01,"Ayrshire and Arran","Azithromycin",10.4707701402942,4
2020-05-01,"Ayrshire and Arran","Azithromycin",9.53923463471202,5
2020-06-01,"Ayrshire and Arran","Azithromycin",9.55833465972396,6
2020-07-01,"Ayrshire and Arran","Azithromycin",9.87880579367425,7
2020-08-01,"Ayrshire and Arran","Azithromycin",8.72939357420587,8
2020-09-01,"Ayrshire and Arran","Azithromycin",9.25900998203688,9
2020-10-01,"Ayrshire and Arran","Azithromycin",9.87512221742195,10
2020-11-01,"Ayrshire and Arran","Azithromycin",9.40035016712522,11
2020-12-01,"Ayrshire and Arran","Azithromycin",10.7564519429728,12
2021-01-01,"Ayrshire and Arran","Azithromycin",9.43336592464585,1
2021-02-01,"Ayrshire and Arran","Azithromycin",8.53198117283249,2
2021-03-01,"Ayrshire and Arran","Azithromycin",10.0245116987653,3
2021-04-01,"Ayrshire and Arran","Azithromycin",8.65081061415676,4
2021-05-01,"Ayrshire and Arran","Azithromycin",8.24589008390368,5
2021-06-01,"Ayrshire and Arran","Azithromycin",9.57047681848155,6
2021-07-01,"Ayrshire and Arran","Azithromycin",8.86036517428773,7
2021-08-01,"Ayrshire and Arran","Azithromycin",9.35819368334887,8
2021-09-01,"Ayrshire and Arran","Azithromycin",8.84372086677732,9
2021-10-01,"Ayrshire and Arran","Azithromycin",9.32476863957798,10
2021-11-01,"Ayrshire and Arran","Azithromycin",9.32326792332704,11
2021-12-01,"Ayrshire and Arran","Azithromycin",10.0140066850088,12
2022-01-01,"Ayrshire and Arran","Azithromycin",9.2865685895541,1
2022-02-01,"Ayrshire and Arran","Azithromycin",8.16457854885286,2
2022-03-01,"Ayrshire and Arran","Azithromycin",9.66065622228791,3
2022-04-01,"Ayrshire and Arran","Azithromycin",8.22488005639055,4
2022-05-01,"Ayrshire and Arran","Azithromycin",9.71345414857091,5
2022-06-01,"Ayrshire and Arran","Azithromycin",8.4716796652948,6
2022-07-01,"Ayrshire and Arran","Azithromycin",8.98219604811387,7
2022-08-01,"Ayrshire and Arran","Azithromycin",8.80033652425021,8
2022-09-01,"Ayrshire and Arran","Azithromycin",8.88028377180018,9
2022-10-01,"Ayrshire and Arran","Azithromycin",8.98124104686327,10
2022-11-01,"Ayrshire and Arran","Azithromycin",9.6412833397758,11
2022-12-01,"Ayrshire and Arran","Azithromycin",10.2565770026604,12
2023-01-01,"Ayrshire and Arran","Azithromycin",9.86420791741513,1
2023-02-01,"Ayrshire and Arran","Azithromycin",8.39350599149594,2
2023-03-01,"Ayrshire and Arran","Azithromycin",10.168034743855,3
2023-04-01,"Ayrshire and Arran","Azithromycin",9.08424475317765,4
2023-05-01,"Ayrshire and Arran","Azithromycin",9.55860751722413,5
2023-06-01,"Ayrshire and Arran","Azithromycin",8.74494645171559,6
2023-07-01,"Ayrshire and Arran","Azithromycin",9.33500079583438,7
2023-08-01,"Ayrshire and Arran","Azithromycin",9.73050774233157,8
2023-09-01,"Ayrshire and Arran","Azithromycin",8.10618704381637,9
2023-10-01,"Ayrshire and Arran","Azithromycin",9.79517496987198,10
2023-11-01,"Ayrshire and Arran","Azithromycin",9.78235066736397,11
2023-12-01,"Ayrshire and Arran","Azithromycin",9.96748448122968,12
2024-01-01,"Ayrshire and Arran","Azithromycin",9.51617817594761,1
2024-02-01,"Ayrshire and Arran","Azithromycin",9.6236840310148,2
2024-03-01,"Ayrshire and Arran","Azithromycin",9.70663271106664,3
2024-04-01,"Ayrshire and Arran","Azithromycin",9.21221492075763,4
2024-05-01,"Ayrshire and Arran","Azithromycin",9.76502421610314,5
2024-06-01,"Ayrshire and Arran","Azithromycin",9.94988517246868,6
2024-07-01,"Ayrshire and Arran","Azithromycin",9.01753109438596,7
2024-08-01,"Ayrshire and Arran","Azithromycin",9.94906659996817,8
2024-09-01,"Ayrshire and Arran","Azithromycin",9.3393665158371,9
2024-10-01,"Ayrshire and Arran","Azithromycin",10.2552127151595,10
2024-11-01,"Ayrshire and Arran","Azithromycin",9.62695832101685,11
2024-12-01,"Ayrshire and Arran","Azithromycin",9.6977648423111,12
2019-01-01,"Borders","Azithromycin",3.4439004895594,1
2019-02-01,"Borders","Azithromycin",2.81746428214607,2
2019-03-01,"Borders","Azithromycin",2.48604827084196,3
2019-04-01,"Borders","Azithromycin",3.27562336754064,4
2019-05-01,"Borders","Azithromycin",2.35587970826256,5
2019-06-01,"Borders","Azithromycin",2.95619656594779,6
2019-07-01,"Borders","Azithromycin",3.09664159399398,7
2019-08-01,"Borders","Azithromycin",4.17310135164067,8
2019-09-01,"Borders","Azithromycin",3.22252829596221,9
2019-10-01,"Borders","Azithromycin",3.5171203060103,10
2019-11-01,"Borders","Azithromycin",2.78920400211238,11
2019-12-01,"Borders","Azithromycin",3.57877909881107,12
2020-01-01,"Borders","Azithromycin",2.83544809671296,1
2020-02-01,"Borders","Azithromycin",3.83312161911423,2
2020-03-01,"Borders","Azithromycin",4.09003325578408,3
2020-04-01,"Borders","Azithromycin",3.24565034326249,4
2020-05-01,"Borders","Azithromycin",2.81232604941267,5
2020-06-01,"Borders","Azithromycin",3.72607510383512,6
2020-07-01,"Borders","Azithromycin",3.54538058604399,7
2020-08-01,"Borders","Azithromycin",3.09150336126058,8
2020-09-01,"Borders","Azithromycin",4.03265632359448,9
2020-10-01,"Borders","Azithromycin",2.93178996046415,10
2020-11-01,"Borders","Azithromycin",3.64129426373407,11
2020-12-01,"Borders","Azithromycin",4.88474658521616,12
2021-01-01,"Borders","Azithromycin",3.10520531521631,1
2021-02-01,"Borders","Azithromycin",3.25335769236259,2
2021-03-01,"Borders","Azithromycin",3.62844868190057,3
2021-04-01,"Borders","Azithromycin",2.32847580035111,4
2021-05-01,"Borders","Azithromycin",3.44604141986498,5
2021-06-01,"Borders","Azithromycin",3.36040420764169,6
2021-07-01,"Borders","Azithromycin",3.09150336126058,7
2021-08-01,"Borders","Azithromycin",3.51626393388807,8
2021-09-01,"Borders","Azithromycin",3.11119992007194,9
2021-10-01,"Borders","Azithromycin",3.81513780454734,10
2021-11-01,"Borders","Azithromycin",3.18656066682843,11
2021-12-01,"Borders","Azithromycin",4.03094357935001,12
2022-01-01,"Borders","Azithromycin",3.10263619884961,1
2022-02-01,"Borders","Azithromycin",3.08208326791602,2
2022-03-01,"Borders","Azithromycin",3.33771034640252,3
2022-04-01,"Borders","Azithromycin",4.2574540056806,4
2022-05-01,"Borders","Azithromycin",3.21139545837318,5
2022-06-01,"Borders","Azithromycin",3.33171574154689,6
2022-07-01,"Borders","Azithromycin",2.70271041776687,7
2022-08-01,"Borders","Azithromycin",4.73830695231435,8
2022-09-01,"Borders","Azithromycin",2.7061359062558,9
2022-10-01,"Borders","Azithromycin",3.55822616787748,10
2022-11-01,"Borders","Azithromycin",4.57902173757904,11
2022-12-01,"Borders","Azithromycin",4.91514779555543,12
2023-01-01,"Borders","Azithromycin",3.6395815194896,1
2023-02-01,"Borders","Azithromycin",3.62716412371723,2
2023-03-01,"Borders","Azithromycin",3.93717083196552,3
2023-04-01,"Borders","Azithromycin",4.65010062372436,4
2023-05-01,"Borders","Azithromycin",3.93759901802663,5
2023-06-01,"Borders","Azithromycin",3.49142914234332,6
2023-07-01,"Borders","Azithromycin",4.73402509170318,7
2023-08-01,"Borders","Azithromycin",4.62612220430184,8
2023-09-01,"Borders","Azithromycin",3.63615603100067,9
2023-10-01,"Borders","Azithromycin",4.57987810970127,10
2023-11-01,"Borders","Azithromycin",4.79996574511511,11
2023-12-01,"Borders","Azithromycin",4.99821589141201,12
2024-01-01,"Borders","Azithromycin",4.13199548977349,1
2024-02-01,"Borders","Azithromycin",4.29042433238657,2
2024-03-01,"Borders","Azithromycin",3.78430840814695,3
2024-04-01,"Borders","Azithromycin",5.65505330916461,4
2024-05-01,"Borders","Azithromycin",4.11315530308437,5
2024-06-01,"Borders","Azithromycin",4.94083895922241,6
2024-07-01,"Borders","Azithromycin",5.01919700840672,7
2024-08-01,"Borders","Azithromycin",4.85049170032685,8
2024-09-01,"Borders","Azithromycin",4.4111728016214,9
2024-10-01,"Borders","Azithromycin",6.21340793286043,10
2024-11-01,"Borders","Azithromycin",5.02305068295677,11
2024-12-01,"Borders","Azithromycin",6.38040049669583,12
2019-01-01,"Dumfries and Galloway","Azithromycin",3.58766696704575,1
2019-02-01,"Dumfries and Galloway","Azithromycin",3.59485325150855,2
2019-03-01,"Dumfries and Galloway","Azithromycin",3.60375055608154,3
2019-04-01,"Dumfries and Galloway","Azithromycin",4.28815860015741,4
2019-05-01,"Dumfries and Galloway","Azithromycin",4.35488838445481,5
2019-06-01,"Dumfries and Galloway","Azithromycin",3.56439709354717,6
2019-07-01,"Dumfries and Galloway","Azithromycin",4.12561168968939,7
2019-08-01,"Dumfries and Galloway","Azithromycin",3.97914836825716,8
2019-09-01,"Dumfries and Galloway","Azithromycin",4.49827186968871,9
2019-10-01,"Dumfries and Galloway","Azithromycin",3.32759191029692,10
2019-11-01,"Dumfries and Galloway","Azithromycin",4.35009752814628,11
2019-12-01,"Dumfries and Galloway","Azithromycin",4.39732168318752,12
2020-01-01,"Dumfries and Galloway","Azithromycin",4.16701837635598,1
2020-02-01,"Dumfries and Galloway","Azithromycin",3.38302896186707,2
2020-03-01,"Dumfries and Galloway","Azithromycin",4.91199653233258,3
2020-04-01,"Dumfries and Galloway","Azithromycin",3.91652503222421,4
2020-05-01,"Dumfries and Galloway","Azithromycin",4.16701837635598,5
2020-06-01,"Dumfries and Galloway","Azithromycin",3.59519545553059,6
2020-07-01,"Dumfries and Galloway","Azithromycin",3.77177273090216,7
2020-08-01,"Dumfries and Galloway","Azithromycin",3.94013710974483,8
2020-09-01,"Dumfries and Galloway","Azithromycin",3.77895901536496,9
2020-10-01,"Dumfries and Galloway","Azithromycin",4.17112482462044,10
2020-11-01,"Dumfries and Galloway","Azithromycin",4.03321660373915,11
2020-12-01,"Dumfries and Galloway","Azithromycin",4.69811901855887,12
2021-01-01,"Dumfries and Galloway","Azithromycin",3.47200200759693,1
2021-02-01,"Dumfries and Galloway","Azithromycin",4.05135341690716,2
2021-03-01,"Dumfries and Galloway","Azithromycin",3.84774202379459,3
2021-04-01,"Dumfries and Galloway","Azithromycin",3.69648784605382,4
2021-05-01,"Dumfries and Galloway","Azithromycin",4.81412618202973,5
2021-06-01,"Dumfries and Galloway","Azithromycin",3.56029064528272,6
2021-07-01,"Dumfries and Galloway","Azithromycin",4.79290953266337,7
2021-08-01,"Dumfries and Galloway","Azithromycin",4.0814673708465,8
2021-09-01,"Dumfries and Galloway","Azithromycin",4.30629541332542,9
2021-10-01,"Dumfries and Galloway","Azithromycin",3.73036604423557,10
2021-11-01,"Dumfries and Galloway","Azithromycin",4.58382287519819,11
2021-12-01,"Dumfries and Galloway","Azithromycin",4.06572598583275,12
2022-01-01,"Dumfries and Galloway","Azithromycin",4.04279831635621,1
2022-02-01,"Dumfries and Galloway","Azithromycin",3.52538583503485,2
2022-03-01,"Dumfries and Galloway","Azithromycin",4.62728278599701,3
2022-04-01,"Dumfries and Galloway","Azithromycin",4.27036399101144,4
2022-05-01,"Dumfries and Galloway","Azithromycin",3.30979730115095,5
2022-06-01,"Dumfries and Galloway","Azithromycin",3.70846498682515,6
2022-07-01,"Dumfries and Galloway","Azithromycin",2.75611119349356,7
2022-08-01,"Dumfries and Galloway","Azithromycin",4.67484914506029,8
2022-09-01,"Dumfries and Galloway","Azithromycin",3.60409276010357,9
2022-10-01,"Dumfries and Galloway","Azithromycin",3.75466252980027,10
2022-11-01,"Dumfries and Galloway","Azithromycin",4.19234147398679,11
2022-12-01,"Dumfries and Galloway","Azithromycin",5.70385663932837,12
2023-01-01,"Dumfries and Galloway","Azithromycin",3.84568879966236,1
2023-02-01,"Dumfries and Galloway","Azithromycin",4.16736058037802,2
2023-03-01,"Dumfries and Galloway","Azithromycin",4.65944996406858,3
2023-04-01,"Dumfries and Galloway","Azithromycin",4.49621864555648,4
2023-05-01,"Dumfries and Galloway","Azithromycin",3.73413028847799,5
2023-06-01,"Dumfries and Galloway","Azithromycin",5.2278508446736,6
2023-07-01,"Dumfries and Galloway","Azithromycin",3.55892182919457,7
2023-08-01,"Dumfries and Galloway","Azithromycin",4.25872905426215,8
2023-09-01,"Dumfries and Galloway","Azithromycin",4.08386279900076,9
2023-10-01,"Dumfries and Galloway","Azithromycin",5.09062703183638,10
2023-11-01,"Dumfries and Galloway","Azithromycin",4.46850011977141,11
2023-12-01,"Dumfries and Galloway","Azithromycin",4.44146600203041,12
2024-01-01,"Dumfries and Galloway","Azithromycin",5.05366899745628,1
2024-02-01,"Dumfries and Galloway","Azithromycin",4.71933566792522,2
2024-03-01,"Dumfries and Galloway","Azithromycin",4.30047794495078,3
2024-04-01,"Dumfries and Galloway","Azithromycin",4.58040083497781,4
2024-05-01,"Dumfries and Galloway","Azithromycin",5.78974984885989,5
2024-06-01,"Dumfries and Galloway","Azithromycin",4.52564819145174,6
2024-07-01,"Dumfries and Galloway","Azithromycin",5.61111934935609,7
2024-08-01,"Dumfries and Galloway","Azithromycin",5.22990406880582,8
2024-09-01,"Dumfries and Galloway","Azithromycin",4.97633088847571,9
2024-10-01,"Dumfries and Galloway","Azithromycin",5.96735373629758,10
2024-11-01,"Dumfries and Galloway","Azithromycin",5.91396990885966,11
2024-12-01,"Dumfries and Galloway","Azithromycin",5.2531739423044,12
2019-01-01,"Fife","Azithromycin",5.37854281848404,1
2019-02-01,"Fife","Azithromycin",4.8146936800509,2
2019-03-01,"Fife","Azithromycin",5.21940160754129,3
2019-04-01,"Fife","Azithromycin",4.94077007858493,4
2019-05-01,"Fife","Azithromycin",5.18190127151677,5
2019-06-01,"Fife","Azithromycin",5.01563634082743,6
2019-07-01,"Fife","Azithromycin",5.25273523956308,7
2019-08-01,"Fife","Azithromycin",5.01684602908628,8
2019-09-01,"Fife","Azithromycin",4.52598141560408,9
2019-10-01,"Fife","Azithromycin",5.72263192322512,10
2019-11-01,"Fife","Azithromycin",5.59655552469108,11
2019-12-01,"Fife","Azithromycin",5.54480774917338,12
2020-01-01,"Fife","Azithromycin",5.48136632048674,1
2020-02-01,"Fife","Azithromycin",5.45004883556304,2
2020-03-01,"Fife","Azithromycin",6.58634934004785,3
2020-04-01,"Fife","Azithromycin",5.8985743599853,4
2020-05-01,"Fife","Azithromycin",4.61630480559862,5
2020-06-01,"Fife","Azithromycin",5.40112366598267,6
2020-07-01,"Fife","Azithromycin",5.82733716251938,7
2020-08-01,"Fife","Azithromycin",5.26295038486008,8
2020-09-01,"Fife","Azithromycin",5.2330576438857,9
2020-10-01,"Fife","Azithromycin",5.83688025878368,10
2020-11-01,"Fife","Azithromycin",5.29238613249223,11
2020-12-01,"Fife","Azithromycin",6.03715087052751,12
2021-01-01,"Fife","Azithromycin",5.36227923189276,1
2021-02-01,"Fife","Azithromycin",4.83136049606179,2
2021-03-01,"Fife","Azithromycin",5.59077590300988,3
2021-04-01,"Fife","Azithromycin",5.42760239787095,4
2021-05-01,"Fife","Azithromycin",5.05353990627156,5
2021-06-01,"Fife","Azithromycin",4.92867319599638,6
2021-07-01,"Fife","Azithromycin",4.9450711923942,7
2021-08-01,"Fife","Azithromycin",5.33391876271293,8
2021-09-01,"Fife","Azithromycin",5.05407754549772,9
2021-10-01,"Fife","Azithromycin",5.06294859272933,10
2021-11-01,"Fife","Azithromycin",5.42840885671019,11
2021-12-01,"Fife","Azithromycin",5.63607200781369,12
2022-01-01,"Fife","Azithromycin",4.77342986944327,1
2022-02-01,"Fife","Azithromycin",4.9648294339555,2
2022-03-01,"Fife","Azithromycin",5.28190216758215,3
2022-04-01,"Fife","Azithromycin",4.86563499672936,4
2022-05-01,"Fife","Azithromycin",5.13364815096909,5
2022-06-01,"Fife","Azithromycin",4.89654925223344,6
2022-07-01,"Fife","Azithromycin",4.20084409358507,7
2022-08-01,"Fife","Azithromycin",5.06281418292279,8
2022-09-01,"Fife","Azithromycin",4.79305370119804,9
2022-10-01,"Fife","Azithromycin",5.09776073262305,10
2022-11-01,"Fife","Azithromycin",5.27585372628787,11
2022-12-01,"Fife","Azithromycin",5.22854147438597,12
2023-01-01,"Fife","Azithromycin",4.84990904936424,1
2023-02-01,"Fife","Azithromycin",4.50178765042697,2
2023-03-01,"Fife","Azithromycin",5.28606887158487,3
2023-04-01,"Fife","Azithromycin",4.18995689925537,4
2023-05-01,"Fife","Azithromycin",5.01267932508356,5
2023-06-01,"Fife","Azithromycin",4.21226892714092,6
2023-07-01,"Fife","Azithromycin",4.50232528965313,7
2023-08-01,"Fife","Azithromycin",4.50004032294196,8
2023-09-01,"Fife","Azithromycin",4.44681403955233,9
2023-10-01,"Fife","Azithromycin",4.85447898278658,10
2023-11-01,"Fife","Azithromycin",4.21200010752785,11
2023-12-01,"Fife","Azithromycin",4.81254312314626,12
2024-01-01,"Fife","Azithromycin",4.4273246176041,1
2024-02-01,"Fife","Azithromycin",4.13041335495838,2
2024-03-01,"Fife","Azithromycin",5.08741117751951,3
2024-04-01,"Fife","Azithromycin",3.99600354841889,4
2024-05-01,"Fife","Azithromycin",4.47665301660409,5
2024-06-01,"Fife","Azithromycin",4.18995689925537,6
2024-07-01,"Fife","Azithromycin",4.3531304043943,7
2024-08-01,"Fife","Azithromycin",4.28726959918996,8
2024-09-01,"Fife","Azithromycin",4.3289366392172,9
2024-10-01,"Fife","Azithromycin",4.63391249025529,10
2024-11-01,"Fife","Azithromycin",4.66711171247054,11
2024-12-01,"Fife","Azithromycin",4.64654701207,12
2019-01-01,"Forth Valley","Azithromycin",3.56706362932582,1
2019-02-01,"Forth Valley","Azithromycin",2.99418556768955,2
2019-03-01,"Forth Valley","Azithromycin",4.33776416135461,3
2019-04-01,"Forth Valley","Azithromycin",3.30648482153152,4
2019-05-01,"Forth Valley","Azithromycin",4.03238292895851,5
2019-06-01,"Forth Valley","Azithromycin",3.4128905799608,6
2019-07-01,"Forth Valley","Azithromycin",3.68351699033124,7
2019-08-01,"Forth Valley","Azithromycin",4.22559338505378,8
2019-09-01,"Forth Valley","Azithromycin",3.67791668725602,9
2019-10-01,"Forth Valley","Azithromycin",4.3212926817216,10
2019-11-01,"Forth Valley","Azithromycin",3.7685098252376,11
2019-12-01,"Forth Valley","Azithromycin",4.22592281464644,12
2020-01-01,"Forth Valley","Azithromycin",3.71448337204131,1
2020-02-01,"Forth Valley","Azithromycin",3.83258388101003,2
2020-03-01,"Forth Valley","Azithromycin",4.7927064288185,3
2020-04-01,"Forth Valley","Azithromycin",3.92169458582464,4
2020-05-01,"Forth Valley","Azithromycin",3.84889064584672,5
2020-06-01,"Forth Valley","Azithromycin",3.98725107476405,6
2020-07-01,"Forth Valley","Azithromycin",4.01179357941724,7
2020-08-01,"Forth Valley","Azithromycin",3.47976478727084,8
2020-09-01,"Forth Valley","Azithromycin",3.78481659007429,9
2020-10-01,"Forth Valley","Azithromycin",3.68516413829454,10
2020-11-01,"Forth Valley","Azithromycin",3.81775954934032,11
2020-12-01,"Forth Valley","Azithromycin",4.52356245161503,12
2021-01-01,"Forth Valley","Azithromycin",3.48108250564148,1
2021-02-01,"Forth Valley","Azithromycin",3.2938017822141,2
2021-03-01,"Forth Valley","Azithromycin",4.28159641580603,3
2021-04-01,"Forth Valley","Azithromycin",3.31373227257005,4
2021-05-01,"Forth Valley","Azithromycin",3.68615242707252,5
2021-06-01,"Forth Valley","Azithromycin",3.61779578659551,6
2021-07-01,"Forth Valley","Azithromycin",3.55635716756436,7
2021-08-01,"Forth Valley","Azithromycin",3.10717991797203,8
2021-09-01,"Forth Valley","Azithromycin",3.80062921052198,9
2021-10-01,"Forth Valley","Azithromycin",3.41206700597915,10
